0|0|0|ohjetyyppi|ainesosat|ohje|0
1|1|1|Perinteinen|200g keksejä,75g voita|1. Sulata voi ja murskaa keksit@2. Yhdistä sula voi ja keksimurska|120
2|1|2|Gluteeniton|100g voita,0.75dl fariinisokeria...|1. Sulata voi ja sekoita fariinisokeri...|120
3|2|3|Perinteinen|5dl maitoa,50g hiivaa...|1.Lämmitä maito kädenlämpöiseksi...|60
4|4|3|Perinteinen|4 munaa,2dl sokeria....|1. Voitele ja korppujauhota vuoka...|60
5|1|0|Vegaani|200g digestivekeksejä,70g margariinia(maidoton)|1. Sulata margariini ja murskaa keksit.@2. Sekoita sula margariini ja keksipalat keskenään.|120
6|5|0|Perinteinen|50g hiivaa,2dl maitoa,1dl sokeria|1. Sulata voi ja lämmitä maito@2. Lisää lämpimään maitoon hiiva@3. Sekoita maito, suola. muna ja sokerit|0
7|6|0|Perinteinen|175g voita,1.5dl fariinisokeria,1.5dl sokeria|1. Sulata voi kattilassa@2. Lisää sokerit sulan voin sekaan|30
8|6|0|Gluteeniton|175g voita,1.5dl sokeria|1. Sulata voi kattilassa@2. Lisää sokerit voin sekaan|0
9|5|4|Gluteeniton|50g voita,25g hiivaa,1dl maitoa|1.Sulata voi @2. Lisää kädenlämpöiseen maitoon hiiva|60
